product_category_name,product_category_name_english,AR_H_COMMIT_TIMESTAMP,OP
beleza_saude,health_beauty,2018-08-05 23:59:59,I
informatica_acessorios,computers_accessories,2018-08-05 23:59:59,I
automotivo,auto,2018-08-05 23:59:59,I
cama_mesa_banho,bed_bath_table,2018-08-05 23:59:59,I
moveis_decoracao,furniture_decor,2018-08-05 23:59:59,I
esporte_lazer,sports_leisure,2018-08-05 23:59:59,I
perfumaria,perfumery,2018-08-05 23:59:59,I
utilidades_domesticas,housewares,2018-08-05 23:59:59,I
telefonia,telephony,2018-08-05 23:59:59,I
relogios_presentes,watches_gifts,2018-08-05 23:59:59,I
alimentos_bebidas,food_drink,2018-08-05 23:59:59,I
bebes,baby,2018-08-05 23:59:59,I
papelaria,stationery,2018-08-05 23:59:59,I
tablets_impressao_imagem,tablets_printing_image,2018-08-05 23:59:59,I
brinquedos,toys,2018-08-05 23:59:59,I
telefonia_fixa,fixed_telephony,2018-08-05 23:59:59,I
ferramentas_jardim,garden_tools,2018-08-05 23:59:59,I
fashion_bolsas_e_acessorios,fashion_bags_accessories,2018-08-05 23:59:59,I
eletroportateis,small_appliances,2018-08-05 23:59:59,I
consoles_games,consoles_games,2018-08-05 23:59:59,I
audio,audio,2018-08-05 23:59:59,I
fashion_calcados,fashion_shoes,2018-08-05 23:59:59,I
cool_stuff,cool_stuff,2018-08-05 23:59:59,I
malas_acessorios,luggage_accessories,2018-08-05 23:59:59,I
climatizacao,air_conditioning,2018-08-05 23:59:59,I
construcao_ferramentas_construcao,construction_tools_construction,2018-08-05 23:59:59,I
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,2018-08-05 23:59:59,I
construcao_ferramentas_jardim,costruction_tools_garden,2018-08-05 23:59:59,I
fashion_roupa_masculina,fashion_male_clothing,2018-08-05 23:59:59,I
pet_shop,pet_shop,2018-08-05 23:59:59,I
moveis_escritorio,office_furniture,2018-08-05 23:59:59,I
market_place,market_place,2018-08-05 23:59:59,I
eletronicos,electronics,2018-08-05 23:59:59,I
eletrodomesticos,home_appliances,2018-08-05 23:59:59,I
artigos_de_festas,party_supplies,2018-08-05 23:59:59,I
casa_conforto,home_confort,2018-08-05 23:59:59,I
construcao_ferramentas_ferramentas,costruction_tools_tools,2018-08-05 23:59:59,I
agro_industria_e_comercio,agro_industry_and_commerce,2018-08-05 23:59:59,I
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,2018-08-05 23:59:59,I
livros_tecnicos,books_technical,2018-08-05 23:59:59,I
casa_construcao,home_construction,2018-08-05 23:59:59,I
instrumentos_musicais,musical_instruments,2018-08-05 23:59:59,I
moveis_sala,furniture_living_room,2018-08-05 23:59:59,I
construcao_ferramentas_iluminacao,construction_tools_lights,2018-08-05 23:59:59,I
industria_comercio_e_negocios,industry_commerce_and_business,2018-08-05 23:59:59,I
alimentos,food,2018-08-05 23:59:59,I
artes,art,2018-08-05 23:59:59,I
moveis_quarto,furniture_bedroom,2018-08-05 23:59:59,I
livros_interesse_geral,books_general_interest,2018-08-05 23:59:59,I
construcao_ferramentas_seguranca,construction_tools_safety,2018-08-05 23:59:59,I
fashion_underwear_e_moda_praia,fashion_underwear_beach,2018-08-05 23:59:59,I
fashion_esporte,fashion_sport,2018-08-05 23:59:59,I
sinalizacao_e_seguranca,signaling_and_security,2018-08-05 23:59:59,I
pcs,computers,2018-08-05 23:59:59,I
artigos_de_natal,christmas_supplies,2018-08-05 23:59:59,I
fashion_roupa_feminina,fashio_female_clothing,2018-08-05 23:59:59,I
eletrodomesticos_2,home_appliances_2,2018-08-05 23:59:59,I
livros_importados,books_imported,2018-08-05 23:59:59,I
bebidas,drinks,2018-08-05 23:59:59,I
cine_foto,cine_photo,2018-08-05 23:59:59,I
la_cuisine,la_cuisine,2018-08-05 23:59:59,I
musica,music,2018-08-05 23:59:59,I
casa_conforto_2,home_comfort_2,2018-08-05 23:59:59,I
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,2018-08-05 23:59:59,I
cds_dvds_musicais,cds_dvds_musicals,2018-08-05 23:59:59,I
dvds_blu_ray,dvds_blu_ray,2018-08-05 23:59:59,I
flores,flowers,2018-08-05 23:59:59,I
artes_e_artesanato,arts_and_craftmanship,2018-08-05 23:59:59,I
fraldas_higiene,diapers_and_hygiene,2018-08-05 23:59:59,I
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,2018-08-05 23:59:59,I
seguros_e_servicos,security_and_services,2018-08-05 23:59:59,I
sem_categoria,uncategorized,2018-08-05 23:59:59,I
