product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,AR_H_COMMIT_TIMESTAMP,OP
9492dac42243571c7f7807ea23691a33,instrumentos_musicais,60.0,216.0,1.0,190.0,28.0,7.0,13.0,2018-08-18 12:04:29,I
fddede0d4854d07dbb9bcf3b090697f3,automotivo,53.0,357.0,2.0,500.0,16.0,16.0,12.0,2018-08-18 12:18:56,I
2655d926d7d25a339682b6d8b2d53a49,cama_mesa_banho,50.0,395.0,1.0,690.0,25.0,11.0,22.0,2018-08-18 12:20:25,I
c4b8fa873cd5c5a132af8e9a885f9a0d,esporte_lazer,46.0,554.0,2.0,400.0,31.0,10.0,35.0,2018-08-18 12:31:52,I
426f910ccd39ae5e7d55013c466fe343,esporte_lazer,57.0,340.0,1.0,350.0,43.0,30.0,32.0,2018-08-18 12:39:19,I
0f3547f2b32d5660a50961768fe2d929,brinquedos,59.0,1491.0,2.0,250.0,18.0,18.0,35.0,2018-08-18 12:56:03,I
48b177636b95ce71e5cc0411f2c7a9a9,cama_mesa_banho,57.0,362.0,1.0,1005.0,34.0,25.0,45.0,2018-08-18 13:04:02,I
29af47aaefb3a7a8bc5b00d008cdba89,relogios_presentes,51.0,688.0,1.0,525.0,18.0,8.0,12.0,2018-08-18 13:20:33,I
d22458d14bfebb37eee78255c5ff338c,moveis_quarto,59.0,437.0,1.0,10350.0,41.0,47.0,31.0,2018-08-18 13:33:20,I
b77b1c083bc9bd1bbceccc2346cd02f4,,,,,100.0,29.0,5.0,20.0,2018-08-18 13:37:04,I
2610a3a6c0250a7f4411801a8cf376c7,beleza_saude,56.0,1697.0,5.0,750.0,19.0,13.0,15.0,2018-08-18 13:38:46,I
c0cc3aa24916ef20b939f9f403da30a4,automotivo,59.0,360.0,2.0,225.0,16.0,3.0,11.0,2018-08-18 13:46:39,I
bfa3d6cdc62f90365c2a895263e371a0,cama_mesa_banho,45.0,892.0,1.0,1000.0,35.0,8.0,35.0,2018-08-18 13:49:02,I
c997c21dbbcb609d50e418f73437eae5,esporte_lazer,55.0,562.0,3.0,600.0,40.0,15.0,11.0,2018-08-18 13:57:49,I
674be5e777bdff41cf05194fa4e8b64d,utilidades_domesticas,44.0,1134.0,1.0,2350.0,27.0,21.0,23.0,2018-08-18 14:27:28,I
da36ad55cf57ddbc83ed6cd00f819dec,telefonia,44.0,2408.0,5.0,450.0,20.0,10.0,15.0,2018-08-18 14:30:30,I
3e2f9928d76a2823b17795db853ea780,perfumaria,50.0,922.0,1.0,400.0,18.0,8.0,16.0,2018-08-18 14:48:50,I
aca51bff59e5fefae004afb85cb5afc4,perfumaria,52.0,874.0,2.0,265.0,19.0,14.0,16.0,2018-08-18 15:06:20,I
a1773f6417edf55439b183e6385dca73,eletronicos,58.0,680.0,5.0,500.0,16.0,5.0,11.0,2018-08-18 15:26:01,I
e59c0bdd870c05d20216271d1d605a08,esporte_lazer,50.0,781.0,1.0,983.0,24.0,26.0,22.0,2018-08-18 15:41:34,I
ed47a454f5fbb920098724ccf04f86de,utilidades_domesticas,41.0,766.0,3.0,350.0,16.0,10.0,13.0,2018-08-18 15:46:23,I
0884a967f6a45838a8fa6cec1c74cf2f,cama_mesa_banho,58.0,373.0,3.0,600.0,28.0,6.0,23.0,2018-08-18 15:57:06,I
cfbd417c9c7f510b60243124a6489883,telefonia,59.0,636.0,2.0,225.0,17.0,4.0,12.0,2018-08-18 16:25:47,I
63802c9aa03004b8c275b2a4630c0510,informatica_acessorios,47.0,1893.0,5.0,9300.0,105.0,12.0,55.0,2018-08-18 16:49:58,I
2d36fe5f546a2a0d9cf193511d2a916f,utilidades_domesticas,58.0,135.0,1.0,7550.0,42.0,11.0,64.0,2018-08-18 16:51:54,I
a878af5e9510ef64c82ce4badf85b20a,brinquedos,44.0,507.0,5.0,150.0,19.0,3.0,11.0,2018-08-18 17:20:37,I
